state,hospital,mode,allocated_beds,latitude,longitude
Sarawak,Hospital Kapit,Hybrid,52,2.014036752,112.9433316
Sarawak,Hospital Lawas,Hybrid,99,4.854555047,115.4050521
Sarawak,Hospital Limbang,Hybrid,64,4.764434251,115.0196376
Sarawak,Hospital Lundu,Hybrid,86,1.67577571,109.8531099
Sarawak,Hospital Marudi,Hybrid,130,4.178568596,114.3261914
Sarawak,Hospital Mukah,Hybrid,70,2.901044896,112.0769744
Sarawak,Hospital Saratok,Hybrid,64,1.747335826,111.3402879
Sarawak,Hospital Sarikei,Hybrid,69,2.132135175,111.4924845
Sarawak,Hospital Serian,Hybrid,59,1.176394517,110.5642535
Sarawak,Hospital Simunjan,Hybrid,72,1.370197258,110.7868768
Sarawak,Hospital Sri Aman,Hybrid,20,1.234583899,111.4632786
Sarawak,Hospital Umum Sarawak,Hybrid,124,1.543881821,110.3404404
Sarawak,Hospital Miri,Hybrid,72,4.374546248,114.0004347
Sarawak,Hospital Bintulu,Hybrid,104,3.22990993,113.1015665
Sarawak,Hospital Sibu,Hybrid,90,2.296610359,111.8921894
WP Labuan,Hospital Labuan,Hybrid,12,5.311294547,115.2309727
